fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,quality
7.3,0.51,0.26,3.3,0.09,7.0,5
6.0,0.24,0.27,1.9,0.048,40.0,7
5.9,0.62,0.28,3.5,0.039,55.0,6
6.0,0.24,0.27,1.9,0.048,40.0,7
6.7,0.27,0.12,1.3,0.040999999999999995,62.0,6
7.8,0.34,0.35,1.8,0.042,8.0,6
7.3,0.26,0.36,5.2,0.04,31.0,6
7.4,0.36,0.33,1.4,0.025,27.0,6
7.8,0.28,0.32,9.0,0.036000000000000004,34.0,7
6.1,0.31,0.26,2.2,0.051,28.0,6
6.8,0.18,0.37,1.6,0.055,47.0,5
7.4,0.15,0.42,1.7,0.045,49.0,6
5.9,0.13,0.28,1.9,0.05,20.0,6
7.2,0.34,0.34,12.6,0.048,7.0,5
7.9,0.19,0.26,2.1,0.039,8.0,5
7.9,0.19,0.26,2.1,0.039,8.0,5
6.9,0.25,0.4,1.3,0.038,22.0,6
5.8,0.36,0.32,1.7,0.033,22.0,6
5.6,0.35,0.37,1.0,0.038,7.0,5
5.9,0.32,0.39,3.3,0.114,24.0,6
7.2,0.31,0.46,5.0,0.04,7.0,4
6.1,0.28,0.22,1.8,0.034,32.0,6
5.2,0.36,0.1,1.6,0.031,24.0,6
5.6,0.19,0.47,4.5,0.03,19.0,6
6.4,0.13,0.35,4.9,0.048,31.0,6
6.4,0.18,0.48,4.0,0.16,64.0,5
7.4,0.25,0.36,13.2,0.067,53.0,6
7.4,0.25,0.36,13.2,0.067,53.0,6
7.4,0.25,0.36,13.2,0.067,53.0,6
7.9,0.345,0.51,15.3,0.047,54.0,5
7.9,0.345,0.51,15.3,0.047,54.0,5
7.4,0.25,0.36,13.2,0.067,53.0,6
6.1,0.24,0.3,1.5,0.045,22.0,5
6.8,0.25,0.24,4.55,0.053,41.0,6
6.7,0.31,0.31,9.9,0.04,10.0,4
7.2,0.46,0.65,10.4,0.05,76.0,5
5.5,0.35,0.35,1.1,0.045,14.0,6
6.7,0.24,0.41,8.7,0.036000000000000004,29.0,6
6.8,0.28,0.17,13.9,0.047,49.0,6
6.4,0.16,0.22,1.4,0.04,41.0,6
6.3,0.26,0.24,7.2,0.039,38.0,6
7.7,0.22,0.42,1.9,0.052000000000000005,10.0,6
6.5,0.18,0.31,1.7,0.044000000000000004,30.0,7
7.2,0.46,0.65,10.4,0.05,76.0,5
7.0,0.3,0.51,13.6,0.05,40.0,7
9.2,0.25,0.34,1.2,0.026000000000000002,31.0,7
7.8,0.28,0.34,1.6,0.027999999999999997,32.0,7
7.0,0.3,0.51,13.6,0.05,40.0,7
7.8,0.28,0.34,1.6,0.027999999999999997,32.0,7
9.2,0.25,0.34,1.2,0.026000000000000002,31.0,7
8.4,0.35,0.71,12.2,0.046,22.0,5
6.1,0.41,0.24,1.6,0.049,16.0,6
5.9,0.21,0.24,12.1,0.044000000000000004,53.0,5
7.2,0.34,0.44,4.2,0.047,51.0,6
6.7,0.21,0.42,9.1,0.049,31.0,7
5.9,0.37,0.1,1.6,0.057,39.0,5
7.7,0.34,0.27,8.8,0.063,39.0,6
7.4,0.3,0.22,1.4,0.046,16.0,7
6.8,0.51,0.3,4.2,0.066,38.0,5
7.8,0.22,0.38,10.3,0.059000000000000004,28.0,6
7.2,0.35,0.34,12.4,0.051,7.0,6
6.0,0.26,0.5,2.2,0.048,59.0,5
6.1,0.26,0.51,2.2,0.05,61.0,6
6.5,0.28,0.27,5.2,0.04,44.0,6
7.4,0.41,0.66,10.8,0.051,77.0,5
6.5,0.28,0.29,2.7,0.038,26.0,7
6.7,0.34,0.54,16.3,0.047,44.0,5
7.2,0.2,0.34,2.7,0.032,49.0,7
7.4,0.2,0.33,1.9,0.035,39.0,7
8.2,0.22,0.3,1.8,0.047,47.0,6
8.2,0.23,0.29,1.8,0.047,47.0,6
7.1,0.22,0.33,2.8,0.033,48.0,7
6.5,0.28,0.29,2.7,0.038,26.0,7
6.0,0.38,0.26,6.0,0.034,42.0,7
7.4,0.41,0.66,10.8,0.051,77.0,5
5.7,0.18,0.22,4.2,0.042,25.0,5
7.3,0.3,0.22,6.4,0.055999999999999994,44.0,6
7.4,0.24,0.22,10.7,0.042,26.0,6
6.6,0.25,0.3,1.6,0.046,32.0,7
7.4,0.24,0.22,10.7,0.042,26.0,6
7.4,0.26,0.3,7.9,0.049,38.0,6
6.1,0.32,0.25,1.7,0.034,37.0,7
6.9,0.28,0.27,2.1,0.036000000000000004,42.0,7
7.0,0.23,0.33,5.8,0.04,25.0,6
7.1,0.31,0.5,14.5,0.059000000000000004,7.0,5
7.3,0.2,0.37,1.2,0.037000000000000005,48.0,6
6.9,0.41,0.33,10.1,0.043,28.0,5
6.4,0.45,0.1,1.1,0.03,10.0,5
6.4,0.475,0.1,1.0,0.03,9.0,5
6.3,0.27,0.38,1.0,0.051,7.0,7
6.9,0.41,0.33,10.1,0.043,28.0,5
7.0,0.29,0.37,4.9,0.034,26.0,6
5.9,0.27,0.29,11.4,0.036000000000000004,31.0,8
6.9,0.19,0.4,1.4,0.036000000000000004,14.0,7
6.7,0.3,0.35,1.4,0.16,36.0,6
7.2,0.24,0.4,1.4,0.045,31.0,6
6.4,0.45,0.1,1.1,0.03,10.0,5
6.4,0.475,0.1,1.0,0.03,9.0,5
6.3,0.26,0.49,1.5,0.052000000000000005,34.0,6
6.3,0.26,0.49,1.5,0.052000000000000005,34.0,6
7.3,0.25,0.29,7.5,0.049,38.0,5
7.3,0.25,0.29,7.5,0.049,38.0,5
6.1,0.28,0.25,17.75,0.044000000000000004,48.0,5
7.4,0.37,0.35,5.7,0.061,12.0,6
6.5,0.36,0.28,3.2,0.037000000000000005,29.0,8
7.4,0.24,0.4,4.3,0.032,9.0,6
7.5,0.23,0.68,11.0,0.047,37.0,5
7.5,0.21,0.68,10.9,0.045,38.0,5
7.5,0.21,0.68,10.9,0.045,38.0,5
7.5,0.23,0.68,11.0,0.047,37.0,5
7.8,0.32,0.33,2.4,0.037000000000000005,18.0,7
7.8,0.26,0.27,1.9,0.051,52.0,6
7.7,0.24,0.27,1.8,0.051,52.0,6
7.4,0.19,0.3,1.4,0.057,33.0,6
6.5,0.46,0.41,16.8,0.084,59.0,5
6.5,0.26,0.43,8.9,0.083,50.0,5
5.3,0.32,0.12,6.6,0.043,22.0,6
7.2,0.24,0.34,1.1,0.045,7.0,5
6.0,0.36,0.1,1.4,0.066,27.0,5
6.2,0.24,0.29,13.3,0.039,49.0,8
7.6,0.56,0.12,10.4,0.096,22.0,4
7.0,0.32,0.24,6.2,0.048,31.0,6
7.0,0.32,0.24,6.2,0.048,31.0,6
5.8,0.31,0.33,1.2,0.036000000000000004,23.0,6
7.0,0.23,0.42,18.05,0.05,35.0,5
7.0,0.23,0.42,18.05,0.05,35.0,5
6.9,0.24,0.33,4.8,0.04,16.0,6
6.0,0.29,0.2,12.6,0.045,45.0,5
6.1,0.17,0.28,4.5,0.033,46.0,6
5.9,0.14,0.25,4.5,0.027000000000000003,34.0,6
6.2,0.17,0.28,4.7,0.037000000000000005,39.0,7
7.4,0.28,0.25,11.9,0.053,25.0,5
5.6,0.35,0.14,5.0,0.046,48.0,5
5.8,0.335,0.14,5.8,0.046,49.0,5
5.6,0.235,0.29,1.2,0.047,33.0,7
6.1,0.28,0.25,12.9,0.054000000000000006,34.0,4
6.3,0.21,0.33,13.9,0.046,68.0,6
6.4,0.24,0.28,11.5,0.05,34.0,5
6.4,0.24,0.29,11.4,0.051,32.0,5
6.3,0.26,0.25,7.8,0.057999999999999996,44.0,5
6.5,0.33,0.72,1.1,0.061,7.0,4
7.4,0.13,0.34,12.2,0.05,57.0,6
6.0,0.32,0.12,5.9,0.040999999999999995,34.0,5
7.1,0.26,0.34,14.4,0.067,35.0,7
7.1,0.26,0.34,14.4,0.067,35.0,7
7.1,0.26,0.34,14.4,0.067,35.0,7
7.1,0.26,0.34,14.4,0.067,35.0,7
5.9,0.24,0.26,12.3,0.053,34.0,6
6.5,0.21,0.37,2.5,0.048,70.0,7
7.7,0.27,0.35,5.3,0.03,30.0,6
9.0,0.27,0.35,4.9,0.027999999999999997,27.0,6
7.3,0.34,0.21,3.2,0.05,14.0,5
6.6,0.27,0.25,3.1,0.052000000000000005,41.0,5
6.8,0.29,0.16,1.4,0.038,81.0,4
7.1,0.28,0.26,1.9,0.049,12.0,5
6.8,0.25,0.34,14.0,0.032,47.0,7
7.0,0.57,0.1,8.3,0.094,23.0,4
7.1,0.28,0.26,1.9,0.049,12.0,5
7.1,0.17,0.38,7.4,0.052000000000000005,49.0,6
7.8,0.28,0.22,1.4,0.055999999999999994,24.0,5
6.8,0.22,0.37,1.7,0.036000000000000004,38.0,6
7.1,0.17,0.38,7.4,0.052000000000000005,49.0,6
6.1,0.14,0.25,1.3,0.047,37.0,6
6.4,0.24,0.5,11.6,0.047,60.0,5
7.8,0.42,0.26,9.2,0.057999999999999996,34.0,6
6.6,0.28,0.36,1.7,0.038,22.0,6
7.1,0.32,0.34,14.5,0.039,46.0,8
6.7,0.31,0.3,2.1,0.038,18.0,6
6.4,0.32,0.5,10.7,0.047,57.0,5
6.1,0.28,0.25,6.9,0.055999999999999994,44.0,6
5.9,0.29,0.25,12.0,0.057,48.0,6
5.8,0.32,0.38,4.75,0.033,23.0,7
5.8,0.32,0.38,4.75,0.033,23.0,7
5.7,0.32,0.38,4.75,0.033,23.0,7
6.7,0.28,0.14,1.4,0.043,64.0,5
6.8,0.34,0.69,1.3,0.057999999999999996,12.0,5
5.9,0.25,0.25,11.3,0.052000000000000005,30.0,6
6.4,0.27,0.32,4.5,0.16,61.0,5
8.1,0.46,0.31,1.7,0.052000000000000005,50.0,5
6.2,0.36,0.26,13.2,0.051,54.0,5
6.8,0.22,0.35,5.5,0.043,21.0,7
6.8,0.63,0.3,13.0,0.16,22.0,4
7.2,0.28,0.3,10.7,0.044000000000000004,61.0,6
6.7,0.17,0.37,2.0,0.039,34.0,7
6.9,0.2,0.34,1.9,0.043,25.0,4
6.1,0.36,0.16,6.4,0.037000000000000005,36.0,6
6.0,0.36,0.16,6.3,0.036000000000000004,36.0,5
5.9,0.37,0.14,6.3,0.036000000000000004,34.0,5
7.6,0.29,0.58,17.5,0.040999999999999995,51.0,6
6.3,0.34,0.28,14.7,0.047,49.0,5
6.7,0.19,0.34,1.0,0.023,22.0,6
7.5,0.31,0.51,14.8,0.039,62.0,5
7.5,0.31,0.51,14.8,0.039,62.0,5
7.4,0.31,0.48,14.2,0.042,62.0,5
8.4,0.4,0.7,13.1,0.042,29.0,5
5.9,0.34,0.22,2.4,0.03,19.0,7
6.6,0.38,0.18,1.2,0.042,20.0,4
6.4,0.33,0.28,1.1,0.038,30.0,6
5.6,0.25,0.26,3.6,0.037000000000000005,18.0,6
8.6,0.27,0.46,6.1,0.032,13.0,5
6.2,0.31,0.21,6.3,0.040999999999999995,50.0,5
7.2,0.18,0.45,4.4,0.046,57.0,6
7.7,0.2,0.44,13.9,0.05,44.0,6
6.2,0.47,0.21,1.0,0.044000000000000004,13.0,5
6.1,0.25,0.24,12.1,0.046,51.0,5
8.2,0.27,0.43,1.6,0.035,31.0,6
8.2,0.27,0.43,1.6,0.035,31.0,6
6.4,0.31,0.39,7.5,0.04,57.0,5
6.0,0.39,0.26,2.7,0.038,39.0,6
6.2,0.21,0.27,1.7,0.038,41.0,7
7.7,0.42,0.31,9.2,0.048,22.0,6
7.0,0.27,0.41,18.75,0.042,34.0,5
6.2,0.21,0.27,1.7,0.038,41.0,7
7.4,0.29,0.5,1.8,0.042,35.0,7
6.6,0.29,0.44,9.0,0.053,62.0,5
6.0,0.3,0.44,1.5,0.046,15.0,5
6.9,0.31,0.34,1.6,0.032,23.0,6
6.6,0.33,0.31,1.3,0.023,29.0,8
7.8,0.3,0.4,1.8,0.027999999999999997,23.0,7
6.4,0.39,0.21,1.2,0.040999999999999995,35.0,5
6.4,0.24,0.31,2.8,0.038,41.0,7
7.0,0.21,0.34,8.0,0.057,19.0,5
6.4,0.16,0.31,5.3,0.043,42.0,5
6.0,0.33,0.27,1.0,0.16,12.0,5
6.5,0.23,0.33,13.8,0.042,25.0,6
6.2,0.25,0.48,10.0,0.044000000000000004,78.0,6
8.8,0.28,0.45,6.0,0.023,14.0,7
6.6,0.25,0.3,14.4,0.052000000000000005,40.0,6
6.9,0.38,0.25,9.8,0.04,28.0,5
6.4,0.25,0.3,5.5,0.038,15.0,6
6.6,0.25,0.3,14.4,0.052000000000000005,40.0,6
6.9,0.38,0.25,9.8,0.04,28.0,5
7.1,0.21,0.31,3.8,0.023,40.0,7
6.4,0.25,0.3,5.5,0.038,15.0,6
6.9,0.39,0.4,4.6,0.023,7.0,4
5.8,0.2,0.3,1.5,0.031,21.0,6
7.0,0.2,0.37,2.0,0.03,26.0,6
5.9,0.26,0.25,12.5,0.034,38.0,5
7.4,0.38,0.27,7.5,0.040999999999999995,24.0,5
7.4,0.2,0.74,2.1,0.023,34.0,6
7.0,0.21,0.34,8.5,0.033,31.0,6
7.2,0.29,0.4,7.6,0.024,56.0,6
6.9,0.18,0.38,8.1,0.049,44.0,6
7.3,0.3,0.42,7.35,0.025,51.0,6
7.2,0.29,0.4,7.6,0.024,56.0,6
6.9,0.2,0.5,10.0,0.036000000000000004,78.0,6
6.7,0.2,0.42,14.0,0.038,81.0,6
7.0,0.21,0.34,8.5,0.033,31.0,6
5.9,0.35,0.47,2.2,0.11,14.0,5
7.1,0.28,0.44,1.8,0.032,32.0,7
5.8,0.25,0.28,11.1,0.055999999999999994,45.0,5
6.8,0.22,0.37,15.2,0.051,68.0,6
7.1,0.14,0.4,1.2,0.051,55.0,7
7.1,0.13,0.4,1.2,0.047,54.0,7
6.9,0.18,0.38,8.1,0.049,44.0,6
7.0,0.2,0.38,8.1,0.05,42.0,6
6.8,0.24,0.49,18.8,0.057,55.0,5
5.2,0.44,0.1,18.6,0.039,38.0,6
6.3,0.3,0.28,5.0,0.042,36.0,6
7.2,0.27,0.42,1.6,0.05,35.0,6
6.7,0.5,0.63,13.4,0.078,81.0,5
6.8,0.2,0.36,1.6,0.027999999999999997,7.0,6
6.7,0.13,0.34,8.8,0.043,41.0,7
6.7,0.13,0.34,8.8,0.043,41.0,7
6.8,0.13,0.31,5.2,0.045,29.0,7
6.6,0.16,0.57,1.1,0.13,58.0,7
6.6,0.21,0.6,1.1,0.135,61.0,7
6.1,0.27,0.3,16.7,0.039,49.0,5
9.1,0.27,0.45,10.6,0.035,28.0,8
6.4,0.225,0.48,2.2,0.115,29.0,6
8.3,0.14,0.45,1.5,0.039,18.0,6
7.2,0.23,0.19,13.7,0.052000000000000005,47.0,5
6.9,0.22,0.37,15.0,0.053,59.0,7
8.1,0.17,0.44,14.1,0.053,43.0,8
6.0,0.395,0.1,1.4,0.042,7.0,4
7.8,0.29,0.22,9.5,0.055999999999999994,44.0,6
6.9,0.22,0.37,15.0,0.053,59.0,7
8.1,0.17,0.44,14.1,0.053,43.0,8
7.2,0.23,0.19,13.7,0.052000000000000005,47.0,5
7.6,0.3,0.27,10.6,0.039,31.0,6
7.7,0.34,0.28,11.0,0.04,31.0,6
7.7,0.34,0.28,11.0,0.04,31.0,6
5.8,0.34,0.16,7.0,0.037000000000000005,26.0,7
7.6,0.3,0.27,10.6,0.039,31.0,6
7.7,0.34,0.28,11.0,0.04,31.0,6
5.9,0.24,0.3,2.0,0.033,28.0,7
6.4,0.46,0.1,4.9,0.046,34.0,5
5.9,0.24,0.3,2.0,0.033,28.0,7
7.4,0.32,0.27,1.4,0.049,38.0,5
7.2,0.31,0.26,7.3,0.05,37.0,5
7.8,0.42,0.23,8.8,0.054000000000000006,42.0,6
6.9,0.24,0.33,12.5,0.046,47.0,6
5.4,0.18,0.24,4.8,0.040999999999999995,30.0,6
6.0,0.18,0.31,1.4,0.036000000000000004,14.0,8
7.8,0.27,0.58,11.2,0.036000000000000004,44.0,6
6.0,0.28,0.49,6.8,0.048,61.0,5
6.8,0.39,0.35,11.6,0.044000000000000004,57.0,5
6.6,0.21,0.31,11.4,0.039,46.0,7
7.3,0.32,0.34,6.6,0.032,24.0,6
7.8,0.27,0.58,11.2,0.036000000000000004,44.0,6
6.4,0.31,0.26,13.2,0.046,57.0,5
6.2,0.29,0.26,13.1,0.046,55.0,6
6.0,0.39,0.17,12.0,0.046,65.0,6
6.2,0.3,0.26,13.4,0.046,57.0,6
6.0,0.28,0.49,6.8,0.048,61.0,5
6.0,0.41,0.1,1.5,0.063,17.0,6
6.4,0.35,0.28,1.1,0.055,9.0,7
6.5,0.26,0.32,16.5,0.045,44.0,6
7.9,0.35,0.24,15.6,0.07200000000000001,44.0,6
6.2,0.3,0.17,2.8,0.04,24.0,5
8.4,0.18,0.42,5.1,0.036000000000000004,7.0,5
6.6,0.56,0.22,8.9,0.034,27.0,5
6.2,0.3,0.17,2.8,0.04,24.0,5
6.6,0.56,0.22,8.9,0.034,27.0,5
6.6,0.36,0.29,1.6,0.023,24.0,8
7.3,0.63,0.2,10.2,0.071,28.0,6
6.8,0.18,0.21,5.4,0.053,34.0,5
6.7,0.19,0.23,6.2,0.047,36.0,6
8.4,0.18,0.42,5.1,0.036000000000000004,7.0,5
7.0,0.21,0.37,7.2,0.042,36.0,6
6.8,0.25,0.38,8.1,0.046,24.0,6
7.4,0.24,0.36,2.0,0.031,27.0,8
7.1,0.16,0.36,10.7,0.044000000000000004,20.0,7
7.1,0.16,0.36,1.2,0.043,21.0,7
7.3,0.205,0.31,1.7,0.06,34.0,6
7.4,0.17,0.4,5.5,0.037000000000000005,34.0,4
7.3,0.3,0.34,2.7,0.044000000000000004,34.0,8
6.9,0.25,0.34,1.3,0.035,27.0,6
7.3,0.205,0.31,1.7,0.06,34.0,6
7.5,0.42,0.34,4.3,0.04,34.0,8
7.3,0.25,0.36,2.1,0.034,30.0,8
7.3,0.25,0.36,2.1,0.034,30.0,8
7.3,0.25,0.36,2.1,0.034,30.0,8
7.5,0.34,0.35,6.0,0.034,12.0,7
7.6,0.33,0.35,6.3,0.036000000000000004,12.0,7
8.7,0.23,0.32,13.4,0.044000000000000004,35.0,7
8.7,0.23,0.32,13.4,0.044000000000000004,35.0,7
6.9,0.19,0.35,1.7,0.036000000000000004,33.0,7
7.3,0.21,0.29,1.6,0.034,29.0,8
7.3,0.21,0.29,1.6,0.034,29.0,8
6.6,0.22,0.37,15.4,0.035,62.0,5
9.2,0.34,0.27,1.2,0.026000000000000002,17.0,5
8.7,0.23,0.32,13.4,0.044000000000000004,35.0,7
6.0,0.2,0.24,1.8,0.03,30.0,6
6.9,0.19,0.35,1.7,0.036000000000000004,33.0,7
8.2,0.38,0.49,13.6,0.042,58.0,5
6.9,0.18,0.36,1.3,0.036000000000000004,40.0,7
7.7,0.34,0.58,11.1,0.039,41.0,5
6.9,0.18,0.36,1.3,0.036000000000000004,40.0,7
7.4,0.2,0.35,2.1,0.038,30.0,7
8.2,0.38,0.49,13.6,0.042,58.0,5
8.2,0.4,0.48,13.7,0.042,59.0,5
6.7,0.22,0.39,10.2,0.038,60.0,7
6.6,0.3,0.3,4.8,0.16,60.0,5
8.1,0.27,0.35,1.7,0.03,38.0,8
7.3,0.25,0.42,14.2,0.040999999999999995,57.0,7
5.2,0.34,0.1,6.5,0.027999999999999997,33.0,6
6.2,0.28,0.33,1.7,0.028999999999999998,24.0,6
5.2,0.33,0.1,6.5,0.027999999999999997,34.0,5
6.1,0.27,0.33,2.2,0.023,26.0,6
6.9,0.18,0.36,1.3,0.036000000000000004,40.0,7
7.8,0.18,0.46,12.6,0.042,41.0,8
7.3,0.28,0.42,14.4,0.04,49.0,7
7.3,0.24,0.29,1.2,0.037000000000000005,37.0,6
6.0,0.45,0.65,9.7,0.08,11.0,5
7.7,0.34,0.58,11.1,0.039,41.0,5
6.3,0.26,0.21,4.0,0.03,24.0,6
9.2,0.17,0.47,1.4,0.037000000000000005,7.0,4
7.7,0.15,0.29,1.3,0.028999999999999998,10.0,5
7.1,0.21,0.32,2.2,0.037000000000000005,28.0,7
6.9,0.36,0.34,4.2,0.023,57.0,8
6.0,0.28,0.34,1.6,0.11900000000000001,33.0,6
6.2,0.16,0.54,1.4,0.126,37.0,6
6.9,0.13,0.36,2.2,0.037000000000000005,18.0,8
7.1,0.21,0.32,2.2,0.037000000000000005,28.0,7
8.8,0.36,0.44,1.9,0.04,9.0,6
7.4,0.26,0.43,6.0,0.023,22.0,6
7.4,0.26,0.43,6.0,0.023,22.0,6
6.8,0.23,0.29,12.2,0.035,38.0,6
6.1,0.34,0.27,2.6,0.024,20.0,7
7.3,0.26,0.31,1.6,0.04,39.0,6
6.5,0.3,0.32,2.0,0.044000000000000004,34.0,7
7.3,0.26,0.31,1.6,0.04,39.0,6
6.5,0.3,0.32,2.0,0.044000000000000004,34.0,7
5.2,0.31,0.1,6.4,0.046,43.0,6
5.8,0.26,0.18,1.2,0.031,40.0,7
5.9,0.26,0.3,1.0,0.036000000000000004,38.0,5
7.0,0.31,0.29,1.4,0.037000000000000005,33.0,7
5.8,0.26,0.18,1.2,0.031,40.0,7
5.6,0.19,0.39,1.1,0.043,17.0,6
6.8,0.18,0.28,8.7,0.047,52.0,6
7.0,0.29,0.26,1.6,0.044000000000000004,12.0,6
6.6,0.26,0.29,1.4,0.039,13.0,6
6.8,0.18,0.28,8.5,0.047,52.0,6
6.6,0.2,0.38,7.9,0.052000000000000005,30.0,7
8.0,0.29,0.29,13.2,0.046,26.0,6
6.1,0.28,0.35,12.8,0.048,63.0,5
5.9,0.31,0.3,7.7,0.047,60.0,6
6.9,0.21,0.28,2.4,0.055999999999999994,49.0,8
8.4,0.19,0.42,1.6,0.047,9.0,4
8.3,0.27,0.45,1.3,0.048,8.0,4
7.1,0.25,0.39,2.1,0.036000000000000004,30.0,8
8.0,0.23,0.37,9.6,0.054000000000000006,23.0,4
7.5,0.24,0.31,13.0,0.049,46.0,5
6.3,0.33,0.2,5.8,0.04,24.0,5
6.2,0.33,0.19,5.6,0.042,22.0,5
6.3,0.34,0.19,5.8,0.040999999999999995,22.0,5
5.8,0.29,0.1,1.0,0.038,11.0,5
8.0,0.32,0.26,1.2,0.05,11.5,4
5.6,0.29,0.1,1.0,0.038,11.0,5
7.4,0.13,0.39,4.7,0.042,36.0,7
7.7,0.3,0.32,1.6,0.037000000000000005,23.0,6
7.0,0.24,0.34,1.4,0.031,27.0,6
8.6,0.18,0.4,1.1,0.04,20.0,7
7.0,0.13,0.32,4.6,0.057,59.0,7
7.7,0.32,0.62,10.6,0.036000000000000004,56.0,6
7.7,0.32,0.62,10.6,0.036000000000000004,56.0,6
6.5,0.26,0.27,12.9,0.044000000000000004,69.0,6
7.9,0.28,0.41,2.0,0.044000000000000004,50.0,8
6.3,0.27,0.23,2.9,0.047,13.0,5
5.4,0.595,0.1,2.8,0.042,26.0,5
6.7,0.25,0.33,2.9,0.057,52.0,7
6.5,0.25,0.35,12.0,0.055,47.0,5
6.1,0.36,0.58,15.0,0.044000000000000004,42.0,5
7.7,0.17,0.52,5.9,0.023,21.0,7
6.4,0.26,0.43,12.6,0.033,64.0,5
6.5,0.26,0.28,12.5,0.046,80.0,6
5.9,0.29,0.33,7.4,0.037000000000000005,58.0,5
6.2,0.28,0.43,13.0,0.039,64.0,5
6.1,0.27,0.44,6.7,0.040999999999999995,61.0,5
6.4,0.43,0.32,1.4,0.048,10.0,5
6.1,0.36,0.58,15.0,0.044000000000000004,42.0,5
6.2,0.35,0.29,7.3,0.044000000000000004,56.0,6
7.7,0.24,0.29,15.3,0.044000000000000004,39.0,7
6.2,0.34,0.28,7.5,0.034,40.0,5
6.3,0.27,0.46,11.75,0.037000000000000005,61.0,6
5.4,0.415,0.19,1.6,0.039,27.0,7
6.9,0.48,0.36,3.5,0.03,31.0,7
6.5,0.18,0.33,8.0,0.051,16.0,7
6.7,0.15,0.29,5.0,0.057999999999999996,28.0,7
8.2,0.345,0.74,18.2,0.047,55.0,5
8.5,0.16,0.35,1.6,0.039,24.0,5
6.8,0.63,0.25,3.2,0.048,10.0,4
7.3,0.25,0.39,6.4,0.034,8.0,5
7.6,0.345,0.26,1.9,0.043,15.0,5
7.6,0.22,0.34,9.7,0.035,26.0,6
6.5,0.17,0.33,1.4,0.027999999999999997,14.0,6
8.2,0.23,0.37,1.3,0.042,39.0,5
7.6,0.22,0.34,9.7,0.035,26.0,6
7.6,0.345,0.26,1.9,0.043,15.0,5
7.5,0.32,0.26,1.8,0.042,13.0,5
6.6,0.23,0.32,1.0,0.040999999999999995,25.0,7
6.6,0.2,0.32,1.1,0.039,25.0,7
7.3,0.24,0.34,15.4,0.05,38.0,6
7.3,0.24,0.34,15.4,0.05,38.0,6
8.0,0.42,0.36,5.0,0.037000000000000005,34.0,7
7.3,0.24,0.34,15.4,0.05,38.0,6
6.1,0.19,0.25,4.0,0.023,23.0,6
5.9,0.26,0.21,12.5,0.034,36.0,6
8.3,0.23,0.43,3.2,0.035,14.0,5
6.5,0.34,0.28,1.8,0.040999999999999995,43.0,6
6.8,0.22,0.35,17.5,0.039,38.0,6
6.5,0.13,0.33,1.9,0.027999999999999997,23.0,7
5.5,0.42,0.1,1.6,0.023,18.0,7
5.2,0.42,0.1,1.5,0.023,25.0,7
6.0,0.27,0.19,1.7,0.023,24.0,7
6.8,0.22,0.35,17.5,0.039,38.0,6
6.5,0.13,0.33,1.9,0.027999999999999997,23.0,7
7.1,0.13,0.38,1.8,0.046,14.0,6
7.6,0.3,0.25,4.3,0.054000000000000006,22.0,5
6.6,0.13,0.3,4.9,0.057999999999999996,47.0,6
6.5,0.14,0.33,7.6,0.05,53.0,5
7.7,0.28,0.33,6.7,0.037000000000000005,32.0,7
6.0,0.2,0.71,1.6,0.15,10.0,5
6.0,0.19,0.71,1.5,0.152,9.0,6
7.7,0.28,0.33,6.7,0.037000000000000005,32.0,7
5.2,0.39,0.21,1.7,0.027000000000000003,15.0,6
5.7,0.36,0.34,4.2,0.026000000000000002,21.0,6
6.9,0.19,0.33,1.6,0.043,63.0,5
6.0,0.41,0.21,1.9,0.05,29.0,6
7.4,0.28,0.3,5.3,0.054000000000000006,44.0,6
7.4,0.3,0.3,5.2,0.053,45.0,6
6.9,0.19,0.33,1.6,0.043,63.0,5
7.7,0.28,0.39,8.9,0.036000000000000004,8.0,7
8.6,0.16,0.38,3.4,0.04,41.0,6
8.2,0.26,0.44,1.3,0.046,7.0,4
6.5,0.25,0.27,15.2,0.049,75.0,5
7.0,0.24,0.18,1.3,0.046,9.0,4
8.6,0.18,0.36,1.8,0.04,24.0,6
7.8,0.27,0.34,1.6,0.046,27.0,6
6.0,0.26,0.34,1.3,0.046,7.0,5
6.1,0.24,0.27,9.8,0.062,33.0,6
8.0,0.24,0.3,17.45,0.055999999999999994,43.0,6
7.6,0.21,0.6,2.1,0.046,47.0,7
8.0,0.19,0.36,1.8,0.05,16.0,7
6.4,0.28,0.41,6.8,0.045,61.0,5
6.4,0.28,0.43,7.1,0.045,60.0,6
6.9,0.24,0.39,1.3,0.063,18.0,7
5.8,0.36,0.26,3.3,0.038,40.0,6
6.6,0.18,0.28,3.3,0.044000000000000004,18.0,6
5.8,0.36,0.26,3.3,0.038,40.0,6
5.2,0.52,0.1,2.7,0.052000000000000005,30.0,5
6.6,0.22,0.37,1.2,0.059000000000000004,45.0,7
8.3,0.15,0.39,1.3,0.055,32.0,6
7.6,0.16,0.44,1.4,0.043,25.0,6
7.7,0.16,0.41,1.7,0.048,60.0,7
8.3,0.16,0.48,1.7,0.057,31.0,6
6.2,0.25,0.47,11.6,0.048,62.0,5
6.1,0.16,0.27,12.6,0.064,63.0,5
7.6,0.39,0.22,2.8,0.036000000000000004,19.0,5
